transaction_id,transaction_date_time,transaction_qty,product_id,unit_price,product_cate_id,product_type_id,product_detail
4,1/1/2023 7:20:24,1,22,2,3,1,Our Old Time Diner Blend Sm
6,1/1/2023 7:22:41,1,77,3,1,2,Oatmeal Scone
7,1/1/2023 7:25:49,1,22,2,3,1,Our Old Time Diner Blend Sm
9,1/1/2023 7:39:13,1,39,4.25,3,3,Latte Rg
11,1/1/2023 7:43:05,1,56,2.55,9,4,Spicy Eye Opener Chai Rg
13,1/1/2023 7:45:51,1,51,3,9,5,Earl Grey Lg
14,1/1/2023 7:48:19,1,57,3.1,9,4,Spicy Eye Opener Chai Lg
17,1/1/2023 7:59:58,1,79,3.75,1,2,Jumbo Savory Scone
23,1/1/2023 8:24:26,1,69,3.25,1,6,Hazelnut Biscotti
26,1/1/2023 8:33:08,1,43,3,9,7,Lemon Grass Lg
27,1/1/2023 8:33:08,1,76,3.5,1,6,Chocolate Chip Biscotti
29,1/1/2023 8:35:03,1,71,3.75,1,8,Chocolate Croissant
32,1/1/2023 8:52:32,1,26,3,3,9,Brazilian Rg
36,1/1/2023 8:58:55,1,26,3,3,9,Brazilian Rg
37,1/1/2023 9:00:12,1,55,4,9,4,Morning Sunrise Chai Lg
43,1/1/2023 9:10:30,1,78,4.5,1,2,Scottish Cream Scone 
44,1/1/2023 9:11:06,1,56,2.55,9,4,Spicy Eye Opener Chai Rg
45,1/1/2023 9:11:06,1,77,3,1,2,Oatmeal Scone
46,1/1/2023 9:13:01,1,44,2.5,9,7,Peppermint Rg
48,1/1/2023 9:14:16,1,48,2.5,9,5,English Breakfast Rg
56,1/1/2023 9:21:08,1,38,3.75,3,3,Latte
58,1/1/2023 9:22:46,1,34,2.45,3,10,Jamaican Coffee River Sm
63,1/1/2023 9:40:13,1,41,4.25,3,3,Cappuccino Lg
65,1/1/2023 9:41:22,1,79,3.75,1,2,Jumbo Savory Scone
67,1/1/2023 9:44:46,1,24,3,3,1,Our Old Time Diner Blend Lg
71,1/1/2023 9:50:44,1,69,3.25,1,6,Hazelnut Biscotti
72,1/1/2023 9:52:58,1,50,2.5,9,5,Earl Grey Rg
77,1/1/2023 9:54:46,1,23,2.5,3,1,Our Old Time Diner Blend Rg
82,1/1/2023 10:14:49,1,26,3,3,9,Brazilian Rg
83,1/1/2023 10:14:49,1,71,3.75,1,8,Chocolate Croissant
92,1/1/2023 10:25:45,1,74,3.5,1,6,Ginger Biscotti
94,1/1/2023 10:30:07,1,35,3.1,3,10,Jamaican Coffee River Rg
95,1/1/2023 10:30:07,1,70,3.25,1,2,Cranberry Scone
97,1/1/2023 10:41:53,1,59,4.5,5,11,Dark chocolate Lg
101,1/1/2023 10:51:17,1,47,3,9,12,Serenity Green Tea Lg
104,1/1/2023 10:56:14,1,38,3.75,3,3,Latte
105,1/1/2023 10:56:14,1,76,3.5,1,6,Chocolate Chip Biscotti
110,1/1/2023 11:03:25,1,75,3.5,1,8,Croissant
125,1/1/2023 11:23:43,1,77,3,1,2,Oatmeal Scone
136,1/1/2023 11:31:43,1,72,3.25,1,2,Ginger Scone
138,1/1/2023 11:31:53,1,75,3.5,1,8,Croissant
139,1/1/2023 11:39:14,1,60,3.75,5,11,Sustainably Grown Organic Rg
140,1/1/2023 11:39:14,1,71,3.75,1,8,Chocolate Croissant
143,1/1/2023 11:44:09,1,38,3.75,3,3,Latte
152,1/1/2023 11:52:31,1,57,3.1,9,4,Spicy Eye Opener Chai Lg
157,1/1/2023 12:00:20,1,29,2.5,3,13,Columbian Medium Roast Rg
166,1/1/2023 12:06:29,1,46,2.5,9,12,Serenity Green Tea Rg
168,1/1/2023 12:08:21,1,43,3,9,7,Lemon Grass Lg
201,1/1/2023 12:51:57,1,61,4.75,5,11,Sustainably Grown Organic Lg
202,1/1/2023 12:51:57,1,72,3.25,1,2,Ginger Scone
203,1/1/2023 12:52:18,1,56,2.55,9,4,Spicy Eye Opener Chai Rg
204,1/1/2023 12:52:18,1,75,3.5,1,8,Croissant
208,1/1/2023 12:55:27,1,57,3.1,9,4,Spicy Eye Opener Chai Lg
209,1/1/2023 12:55:27,1,75,3.5,1,8,Croissant
231,1/1/2023 13:13:09,1,60,3.75,5,11,Sustainably Grown Organic Rg
241,1/1/2023 13:22:11,1,23,2.5,3,1,Our Old Time Diner Blend Rg
247,1/1/2023 13:32:34,1,87,3,3,3,Ouro Brasileiro shot
251,1/1/2023 13:39:41,1,51,3,9,5,Earl Grey Lg
255,1/1/2023 13:42:49,1,36,3.75,3,10,Jamaican Coffee River Lg
256,1/1/2023 13:42:58,1,52,2.5,9,4,Traditional Blend Chai Rg
257,1/1/2023 13:42:58,1,72,3.25,1,2,Ginger Scone
264,1/1/2023 13:50:09,1,53,3,9,4,Traditional Blend Chai Lg
270,1/1/2023 13:55:04,1,42,2.5,9,7,Lemon Grass Rg
275,1/1/2023 13:57:34,1,71,3.75,1,8,Chocolate Croissant
277,1/1/2023 13:58:11,1,34,2.45,3,10,Jamaican Coffee River Sm
280,1/1/2023 14:03:34,1,69,3.25,1,6,Hazelnut Biscotti
302,1/1/2023 14:29:50,1,78,4.5,1,2,Scottish Cream Scone 
304,1/1/2023 14:30:58,1,57,3.1,9,4,Spicy Eye Opener Chai Lg
305,1/1/2023 14:31:26,1,42,2.5,9,7,Lemon Grass Rg
311,1/1/2023 14:36:35,1,57,3.1,9,4,Spicy Eye Opener Chai Lg
312,1/1/2023 14:37:48,1,44,2.5,9,7,Peppermint Rg
313,1/1/2023 14:39:06,1,87,3,3,3,Ouro Brasileiro shot
332,1/1/2023 15:10:10,1,40,3.75,3,3,Cappuccino
333,1/1/2023 15:10:10,1,75,3.5,1,8,Croissant
346,1/1/2023 15:28:54,1,43,3,9,7,Lemon Grass Lg
351,1/1/2023 15:30:58,1,34,2.45,3,10,Jamaican Coffee River Sm
354,1/1/2023 15:33:36,1,74,3.5,1,6,Ginger Biscotti
364,1/1/2023 15:52:23,1,69,3.25,1,6,Hazelnut Biscotti
385,1/1/2023 16:22:07,1,22,2,3,1,Our Old Time Diner Blend Sm
388,1/1/2023 16:27:42,1,56,2.55,9,4,Spicy Eye Opener Chai Rg
390,1/1/2023 16:28:57,1,42,2.5,9,7,Lemon Grass Rg
